Job`Customer`Order_Date`Part_Number`Rev`Description`Order_Quantity`Extra_Quantity`Pick_Quantity`Make_Quantity`Open_Operations`Completed_Quantity`Shipped_Quantity`FG_Transfer_Qty`In_Production_Quantity`Certs_Required`Act_Scrap_Quantity`Customer_PO`Customer_PO_LN`Sched_End`Sched_Start` `Released_Date`User_Values
---`--------`----------`-----------`---`-----------`--------------`--------------`-------------`-------------`---------------`------------------`----------------`---------------`----------------------`--------------`------------------`-----------`--------------`---------`-----------`-`-------------`-----------
LBR2023-03`NULL`2023-02-28 00:00:00.000`NULL`NULL`NULL`1`0`0`1`5`0`0`0`1`0`0`NULL`NULL`NULL`NULL`NULL`NULL`NULL
128984`STEEGER`2023-03-31 00:00:00.000`STG04650_03-01A`NULL`78T, 2.5 MOD CENTER GEAR`10`0`0`10`8`0`0`0`10`0`0`13887`1`NULL`NULL`1 ITEM - SHIP W/JOB # 128983`NULL`NULL
128983`STEEGER`2023-03-31 00:00:00.000`STG04322_27-01A`NULL`27T, 2.5 MOD SPUR GEAR`10`0`0`10`8`0`0`0`10`0`0`13889`1`NULL`NULL`1 ITEM`NULL`NULL
128966`KORBER`2023-03-30 00:00:00.000`K051E1480`NULL`P22-AT5 PULLEY`4`4`0`8`10`0`0`0`8`0`0`4201151687`2`2023-04-25 00:00:00.000`2023-04-03 00:00:00.000`1 OF 2 ITEMS  Greg V`2023-03-31 00:00:00.000`NULL
128965`KORBER`2023-03-30 00:00:00.000`364824`NULL`P40-8M-50 PULLEY`1`0`1`0`3`0`0`0`0`0`0`4201151687`1`2023-04-25 00:00:00.000`2023-04-07 00:00:00.000`1 OF 2 ITEMS Greg V`2023-03-31 00:00:00.000`NULL
128956`EDG GEAR`2023-03-29 00:00:00.000`67675`G`62T, 6 DP SPUR GEAR`10`0`0`10`11`0`0`0`10`0`0`RF 03/29/23`23`2023-05-04 00:00:00.000`2023-04-04 00:00:00.000`1 ITEM Greg V`2023-03-31 00:00:00.000`NULL
128955`EDG GEAR`2023-03-29 00:00:00.000`465824`NULL`58T, 6DP IDLER GEAR, NITRIDED`10`0`0`10`9`0`0`0`10`0`0`RF 03/29/23`22`2023-05-01 00:00:00.000`2023-04-03 00:00:00.000`1 ITEM  Greg V`2023-03-31 00:00:00.000`NULL
128954`EDG GEAR`2023-03-29 00:00:00.000`448854`A`36T, 8 DP REGISTER GEAR`10`0`0`10`10`0`0`0`10`0`0`RF 03/29/23`21`2023-05-30 00:00:00.000`2023-04-17 00:00:00.000`1 ITEM Greg V`2023-03-31 00:00:00.000`NULL
128953`EDG GEAR`2023-03-29 00:00:00.000`448716`A`73T, 6 DP DRIVE GEAR`6`0`0`6`11`0`0`0`6`0`0`RF 03/29/23`20`2023-05-31 00:00:00.000`2023-04-18 00:00:00.000`1 ITEM  Greg V`2023-03-31 00:00:00.000`NULL
128952`EDG GEAR`2023-03-29 00:00:00.000`447154`A`60T, 8DP ECCENTRIC HOUSING`15`0`0`15`9`0`0`0`15`0`0`RF 03/29/23`19`2023-04-26 00:00:00.000`2023-04-03 00:00:00.000`1 ITEM  Greg V`2023-03-31 00:00:00.000`NULL
128951`EDG GEAR`2023-03-29 00:00:00.000`439904`D`60T, 8DP ECCENTRIC HOUSING`16`0`0`16`9`0`0`0`16`0`0`RF 03/29/23`18`2023-05-30 00:00:00.000`2023-04-07 00:00:00.000`1 ITEM Greg V`2023-03-31 00:00:00.000`NULL
128950`EDG GEAR`2023-03-29 00:00:00.000`432278`-`16T, 6 DP GEAR SHAFT`10`0`0`10`9`0`0`0`10`0`0`RF 03/29/23`17`2023-05-30 00:00:00.000`2023-04-11 00:00:00.000`1 ITEM  Greg V`2023-03-31 00:00:00.000`NULL
128949`EDG GEAR`2023-03-29 00:00:00.000`428596`A`16T, 8 DP PINION`15`0`0`15`8`0`0`0`15`0`0`RF 03/29/23`16`2023-05-30 00:00:00.000`2023-04-21 00:00:00.000`1 ITEM  Greg V`2023-03-31 00:00:00.000`NULL
128948`EDG GEAR`2023-03-29 00:00:00.000`427226`A`36T, 8 DP ELEVATING GEAR`50`0`0`50`7`0`0`0`50`0`0`RF 03/29/23`15`2023-05-30 00:00:00.000`2023-04-24 00:00:00.000`1 ITEM Greg V`2023-03-31 00:00:00.000`NULL
128947`EDG GEAR`2023-03-29 00:00:00.000`425753`A`76T, 8DP ECCENTRIC HOUSING`10`0`0`10`10`0`0`0`10`0`0`RF 03/29/23`14`2023-05-30 00:00:00.000`2023-04-13 00:00:00.000`1 ITEM  Greg V`2023-03-31 00:00:00.000`NULL
128946`EDG GEAR`2023-03-29 00:00:00.000`423656`A`54T, 6 DP IDLER GEAR`4`0`0`4`10`0`0`0`4`0`0`RF 03/29/23`13`2023-05-30 00:00:00.000`2023-04-18 00:00:00.000`1 ITEM Greg V`2023-03-31 00:00:00.000`NULL
128945`EDG GEAR`2023-03-29 00:00:00.000`359982`A`14T, 6 DP OIL PICK UP GEAR`10`0`0`10`7`0`0`0`10`0`0`RF 03/29/23`12`2023-05-29 00:00:00.000`2023-04-17 00:00:00.000`1 ITEM Greg V`2023-03-31 00:00:00.000`NULL
128944`EDG GEAR`2023-03-29 00:00:00.000`351207`A`23T, 6 DP IDLER GEAR`10`0`0`10`10`0`0`0`10`0`0`RF 03/29/23`11`2023-05-30 00:00:00.000`2023-04-12 00:00:00.000`1 ITEM  Greg V`2023-03-31 00:00:00.000`NULL
